regime,regime_name,start_date,end_date,days,mean_return,volatility,sharpe
1,Strong Bull,2023-05-30,2023-08-01,63,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2023-11-16,2024-04-03,138,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2024-05-09,2024-07-16,68,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2024-09-19,2024-09-30,11,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2024-10-16,2024-10-22,6,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2024-11-19,2024-12-17,28,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2025-02-13,2025-02-20,7,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2025-06-02,2025-07-31,59,0.1599980385926606,0.05466615823346914,2.926820610099183
1,Strong Bull,2025-08-15,2025-08-22,7,0.1599980385926606,0.05466615823346914,2.926820610099183
2,Crisis/Bear,2016-06-24,2016-07-08,14,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2016-09-09,2016-09-23,14,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2017-08-17,2017-08-24,7,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2018-02-02,2018-02-20,18,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2018-03-22,2018-04-10,19,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2018-10-10,2018-11-28,49,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2018-12-04,2019-01-24,51,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2019-02-07,2019-02-11,3,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2019-05-13,2019-05-15,2,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2019-08-05,2019-08-28,23,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2019-10-02,2019-10-09,7,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2020-02-24,2020-06-29,125,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2020-09-02,2020-09-18,16,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2020-10-28,2020-11-17,20,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2021-01-27,2021-01-29,2,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2021-03-04,2021-03-11,7,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2021-09-20,2021-09-22,2,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2021-09-28,2021-10-01,3,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2021-11-26,2021-12-10,14,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2022-01-19,2022-02-01,13,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2022-02-10,2022-03-21,38,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2022-04-22,2022-08-31,131,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2022-09-13,2022-12-07,85,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2022-12-15,2022-12-19,4,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2023-10-19,2023-11-02,13,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2023-12-13,2023-12-15,2,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2024-07-24,2024-07-26,2,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2024-08-02,2024-08-09,7,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2024-12-18,2024-12-23,5,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2025-03-03,2025-03-20,16,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
2,Crisis/Bear,2025-03-28,2025-05-27,60,-0.10601947370830536,0.22989387278527076,-0.4611670264362871
