ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,recommendation
HXL,12,54.93000000000001,0.09874125874125905,0.2008914114040775,0.7604932609826343,0.013844770817087824,0.2727272727272727,506.5833333333333,40.096810714959,11.03496522842598,12.369965952371167,AVOID - Too unpredictable
KIM,12,59.0825,0.041993006993006794,0.1980545520179099,0.3257331474279739,0.005513191679904775,0.09090909090909091,429.3333333333333,37.20849921072864,11.701558069598162,12.313540943919449,AVOID - Too unpredictable
MARA,12,23.895833333333332,0.024020979020979015,0.4979855933434424,0.11750591001685352,0.004917422563913661,0.09090909090909091,928.6666666666666,46.266007362093724,11.899780740936007,12.25665732253896,AVOID - Poor risk-adjusted score
UPST,12,35.964999999999996,0.06734265734265733,0.3132746196849361,0.41534122517916994,0.011548483947703879,0.45454545454545453,819.5,47.334299286686786,11.266921696968724,12.206491937883275,AVOID - Poor risk-adjusted score
EXEL,12,100.3125,0.03695804195804207,0.1159721840895711,0.37463593438608317,0.0037346884424780875,0.09090909090909091,2.1666666666666665,34.92387849662114,11.6334597164851,12.169372944515363,AVOID - Too unpredictable
UMC,12,54.0325,0.06325174825174837,0.2087219426809529,0.47793174198832983,0.008845264275914123,0.09090909090909091,517.6666666666666,37.195313671018994,11.277768367908587,12.16208309956469,AVOID - Too unpredictable
CALM,12,42.65416666666667,0.05486013986013977,0.2661101927828725,0.3671162017067021,0.008606807503136514,0.09090909090909091,729.9166666666666,38.940806851354345,11.350708514659441,12.124241299792782,AVOID - Too unpredictable
LHX,12,53.74000000000001,0.07965034965034967,0.20471556153928383,0.6077005841695402,0.011308161223847044,0.09090909090909091,522.75,36.82883254197563,11.001414277121114,12.082496320829494,AVOID - Too unpredictable
RBLX,12,40.509166666666665,0.06248251748251741,0.2751385276858531,0.4112067268688847,0.010150954974031838,0.0,758.5,37.23906033317241,11.145632474447504,12.009129615528979,AVOID - Too unpredictable
PCAR,12,53.97416666666667,0.06073426573426575,0.20645771591180218,0.4614191574792804,0.00854888895884044,0.09090909090909091,518.75,37.15702439965184,11.143383168242929,11.982922952686952,AVOID - Too unpredictable
